Optimal Field,Multiple,Empty Fields,Heighest in the Edge,Left Column,Lost Situation,32,64,128,256,512,1024,2048,4096,8192
1.9000001,0.6,2.0,0.0,0.0,1.5,0,0,0,0,4,8,8,0,0,
1.9000001,0.6,2.0,0.0,0.0,2.0,0,0,0,0,5,11,4,0,0,
1.9000001,0.6,2.0,0.0,0.0,2.5,0,0,0,0,6,11,3,0,0,
1.9000001,0.6,2.0,0.0,0.0,3.0,0,0,0,1,3,12,4,0,0,
1.9000001,0.6,2.5,0.0,0.0,1.0,0,0,0,0,3,8,9,0,0,
1.9000001,0.6,2.5,0.0,0.0,1.5,0,0,0,1,2,11,6,0,0,
1.9000001,0.6,2.5,0.0,0.0,2.0,0,0,0,2,1,10,7,0,0,
1.9000001,0.6,2.5,0.0,0.0,2.5,0,0,0,1,3,12,4,0,0,
1.9000001,0.6,2.5,0.0,0.0,3.0,0,0,0,0,3,11,5,1,0,
1.9000001,0.6,3.0,0.0,0.0,1.0,0,0,0,1,5,9,5,0,0,
1.9000001,0.6,3.0,0.0,0.0,1.5,0,0,0,0,3,11,6,0,0,
1.9000001,0.6,3.0,0.0,0.0,2.0,0,0,0,1,6,9,4,0,0,
1.9000001,0.6,3.0,0.0,0.0,2.5,0,0,0,0,6,10,4,0,0,
1.9000001,0.6,3.0,0.0,0.0,3.0,0,0,0,0,3,13,4,0,0,
1.9000001,0.70000005,1.5,0.0,0.0,1.0,0,0,0,0,2,11,7,0,0,
1.9000001,0.70000005,1.5,0.0,0.0,1.5,0,0,0,1,6,10,3,0,0,
1.9000001,0.70000005,1.5,0.0,0.0,2.0,0,0,0,1,5,9,5,0,0,
1.9000001,0.70000005,1.5,0.0,0.0,2.5,0,0,0,1,5,9,5,0,0,
1.9000001,0.70000005,1.5,0.0,0.0,3.0,0,0,0,0,2,14,4,0,0,
1.9000001,0.70000005,2.0,0.0,0.0,1.0,0,0,0,1,5,11,3,0,0,
1.9000001,0.70000005,2.0,0.0,0.0,1.5,0,0,0,2,4,12,2,0,0,
1.9000001,0.70000005,2.0,0.0,0.0,2.0,0,0,0,1,6,7,6,0,0,
